step,elapsed_seconds,elapsed_hours,ambient_temp_c
0,0,0.0,23.73
1,300,0.08333333333333333,23.688
2,600,0.16666666666666666,23.647
3,900,0.25,23.605
4,1200,0.3333333333333333,23.563
5,1500,0.41666666666666663,23.522
6,1800,0.5,23.48
7,2100,0.5833333333333333,23.438
8,2400,0.6666666666666666,23.397
9,2700,0.75,23.355
10,3000,0.8333333333333333,23.313
11,3300,0.9166666666666666,23.272
12,3600,1.0,23.23
13,3900,1.0833333333333333,23.19
14,4200,1.1666666666666665,23.15
15,4500,1.25,23.11
16,4800,1.3333333333333333,23.07
17,5100,1.4166666666666665,23.03
18,5400,1.5,22.99
19,5700,1.5833333333333333,22.95
20,6000,1.6666666666666665,22.91
21,6300,1.75,22.87
22,6600,1.8333333333333333,22.83
23,6900,1.9166666666666665,22.79
24,7200,2.0,22.75
25,7500,2.083333333333333,22.722
26,7800,2.1666666666666665,22.693
27,8100,2.25,22.665
28,8400,2.333333333333333,22.637
29,8700,2.4166666666666665,22.608
30,9000,2.5,22.58
31,9300,2.583333333333333,22.552
32,9600,2.6666666666666665,22.523
33,9900,2.75,22.495
34,10200,2.833333333333333,22.467
35,10500,2.9166666666666665,22.438
36,10800,3.0,22.41
37,11100,3.083333333333333,22.393
38,11400,3.1666666666666665,22.377
39,11700,3.25,22.36
40,12000,3.333333333333333,22.343
41,12300,3.4166666666666665,22.327
42,12600,3.5,22.31
43,12900,3.583333333333333,22.293
44,13200,3.6666666666666665,22.277
45,13500,3.75,22.26
46,13800,3.833333333333333,22.243
47,14100,3.9166666666666665,22.227
48,14400,4.0,22.21
49,14700,4.083333333333333,22.209
50,15000,4.166666666666666,22.208
51,15300,4.25,22.208
52,15600,4.333333333333333,22.207
53,15900,4.416666666666666,22.206
54,16200,4.5,22.205
55,16500,4.583333333333333,22.204
56,16800,4.666666666666666,22.203
57,17100,4.75,22.202
58,17400,4.833333333333333,22.202
59,17700,4.916666666666666,22.201
60,18000,5.0,22.2
61,18300,5.083333333333333,22.292
62,18600,5.166666666666666,22.385
63,18900,5.25,22.478
64,19200,5.333333333333333,22.57
65,19500,5.416666666666666,22.662
66,19800,5.5,22.755
67,20100,5.583333333333333,22.848
68,20400,5.666666666666666,22.94
69,20700,5.75,23.032
70,21000,5.833333333333333,23.125
71,21300,5.916666666666666,23.217
72,21600,6.0,23.31
73,21900,6.083333333333333,23.5
74,22200,6.166666666666666,23.69
75,22500,6.25,23.88
76,22800,6.333333333333333,24.07
77,23100,6.416666666666666,24.26
78,23400,6.5,24.45
79,23700,6.583333333333333,24.64
80,24000,6.666666666666666,24.83
81,24300,6.75,25.02
82,24600,6.833333333333333,25.21
83,24900,6.916666666666666,25.4
84,25200,7.0,25.59
85,25500,7.083333333333333,25.842
86,25800,7.166666666666666,26.095
87,26100,7.25,26.348
88,26400,7.333333333333333,26.6
89,26700,7.416666666666666,26.852
90,27000,7.5,27.105
91,27300,7.583333333333333,27.357
92,27600,7.666666666666666,27.61
93,27900,7.75,27.862
94,28200,7.833333333333333,28.115
95,28500,7.916666666666666,28.368
96,28800,8.0,28.62
97,29100,8.083333333333332,28.838
98,29400,8.166666666666666,29.057
99,29700,8.25,29.275
100,30000,8.333333333333332,29.493
101,30300,8.416666666666666,29.712
102,30600,8.5,29.93
103,30900,8.583333333333332,30.148
104,31200,8.666666666666666,30.367
105,31500,8.75,30.585
106,31800,8.833333333333332,30.803
107,32100,8.916666666666666,31.022
108,32400,9.0,31.24
109,32700,9.083333333333332,31.408
110,33000,9.166666666666666,31.577
111,33300,9.25,31.745
112,33600,9.333333333333332,31.913
113,33900,9.416666666666666,32.082
114,34200,9.5,32.25
115,34500,9.583333333333332,32.418
116,34800,9.666666666666666,32.587
117,35100,9.75,32.755
118,35400,9.833333333333332,32.923
119,35700,9.916666666666666,33.092
120,36000,10.0,33.26
121,36300,10.083333333333332,33.396
122,36600,10.166666666666666,33.532
123,36900,10.25,33.668
124,37200,10.333333333333332,33.803
125,37500,10.416666666666666,33.939
126,37800,10.5,34.075
127,38100,10.583333333333332,34.211
128,38400,10.666666666666666,34.347
129,38700,10.75,34.482
130,39000,10.833333333333332,34.618
131,39300,10.916666666666666,34.754
132,39600,11.0,34.89
133,39900,11.083333333333332,34.972
134,40200,11.166666666666666,35.055
135,40500,11.25,35.138
136,40800,11.333333333333332,35.22
137,41100,11.416666666666666,35.302
138,41400,11.5,35.385
139,41700,11.583333333333332,35.468
140,42000,11.666666666666666,35.55
141,42300,11.75,35.632
142,42600,11.833333333333332,35.715
143,42900,11.916666666666666,35.798
144,43200,12.0,35.88
145,43500,12.083333333333332,35.898
146,43800,12.166666666666666,35.917
147,44100,12.25,35.935
148,44400,12.333333333333332,35.953
149,44700,12.416666666666666,35.972
150,45000,12.5,35.99
151,45300,12.583333333333332,36.008
